space,date,tide.1,tide.2,tide.3,tide.4
목포,2021-05-01,05:20/고/483,10:21/저/59,17:18/고/364,22:23/저/-3
여수,2021-05-01,05:56/저/76,11:53/고/271,17:50/저/49,--:--/-/--/--
속초,2021-05-01,00:18/저/-4,07:43/고/21,11:32/저/17,17:25/고/31
부산,2021-05-01,05:01/저/8,11:08/고/99,17:02/저/12,23:42/고/105
포항,2021-05-01,01:31/저/12,17:41/고/36,--:--/-/--/--,--:--/-/--/--
통영,2021-05-01,05:39/저/51,11:33/고/204,17:32/저/31,--:--/-/--/--
태안,2021-05-01,00:51/저/19,07:14/고/738,13:38/저/126,19:19/고/614
울산,2021-05-01,04:06/저/1,10:46/고/50,16:16/저/19,22:15/고/47
울릉도,2021-05-01,08:02/고/23,11:15/저/21,16:54/고/29,--:--/-/--/--
제주도,2021-05-01,01:42/고/273,08:14/저/93,13:13/고/204,20:00/저/39
인천,2021-05-01,01:27/저/6,07:43/고/883,14:07/저/128,19:52/고/756
영흥도,2021-05-01,01:12/저/8,07:31/고/831,13:54/저/130,19:38/고/708
목포,2021-05-02,06:09/고/456,11:12/저/99,18:06/고/336,23:11/저/42
여수,2021-05-02,00:41/고/307,06:52/저/107,12:40/고/241,18:40/저/81
속초,2021-05-02,01:22/저/-2,09:25/고/20,12:09/저/19,18:16/고/29
부산,2021-05-02,05:52/저/21,11:57/고/87,17:51/저/26,--:--/-/--/--
포항,2021-05-02,02:28/저/12,18:34/고/36,--:--/-/--/--,--:--/-/--/--
통영,2021-05-02,00:26/고/233,06:34/저/76,12:20/고/180,18:21/저/57
태안,2021-05-02,01:32/저/60,08:01/고/696,14:27/저/181,20:05/고/566
울산,2021-05-02,04:54/저/5,11:41/고/45,17:06/저/24,22:44/고/43
울릉도,2021-05-02,01:03/저/0,09:43/고/23,11:58/저/22,17:46/고/29
제주도,2021-05-02,02:46/고/253,09:19/저/114,14:03/고/184,20:56/저/66
인천,2021-05-02,02:06/저/59,08:28/고/831,14:53/저/194,20:37/고/698
영흥도,2021-05-02,01:52/저/60,08:16/고/781,14:40/저/193,20:23/고/651
목포,2021-05-03,07:03/고/425,12:17/저/134,19:02/고/312,--:--/-/--/--
여수,2021-05-03,01:42/고/277,08:06/저/131,13:47/고/215,19:46/저/109
속초,2021-05-03,02:33/저/-1,19:19/고/27,--:--/-/--/--,--:--/-/--/--
부산,2021-05-03,00:33/고/94,06:56/저/32,13:08/고/77,18:55/저/38
포항,2021-05-03,03:28/저/13,19:41/고/34,--:--/-/--/--,--:--/-/--/--
통영,2021-05-03,01:26/고/210,07:46/저/95,13:27/고/161,19:26/저/80
태안,2021-05-03,02:18/저/115,08:55/고/645,15:26/저/233,21:03/고/519
울산,2021-05-03,05:52/저/9,12:59/고/41,18:15/저/27,23:25/고/39
울릉도,2021-05-03,02:11/저/2,18:53/고/27,--:--/-/--/--,--:--/-/--/--
제주도,2021-05-03,04:10/고/234,10:42/저/126,15:20/고/168,22:08/저/89
인천,2021-05-03,02:50/저/127,09:18/고/771,15:48/저/259,21:33/고/639
영흥도,2021-05-03,02:36/저/126,09:08/고/723,15:37/저/253,21:19/고/593
목포,2021-05-04,00:12/저/88,08:04/고/394,13:43/저/152,20:12/고/299
여수,2021-05-04,03:07/고/255,09:49/저/138,15:29/고/204,21:21/저/126
속초,2021-05-04,03:46/저/1,12:35/고/21,15:41/저/20,20:39/고/25
부산,2021-05-04,01:51/고/85,08:26/저/38,14:59/고/75,20:26/저/45
포항,2021-05-04,04:31/저/14,21:00/고/32,--:--/-/--/--,--:--/-/--/--
통영,2021-05-04,02:51/고/193,09:25/저/103,15:14/고/154,20:56/저/94
태안,2021-05-04,03:16/저/175,10:04/고/597,16:46/저/265,22:25/고/486
울산,2021-05-04,07:08/저/13,14:42/고/39,19:49/저/28,--:--/-/--/--
울릉도,2021-05-04,03:22/저/5,12:04/고/23,15:34/저/22,20:21/고/26
제주도,2021-05-04,05:44/고/224,12:13/저/127,17:29/고/165,23:37/저/103
인천,2021-05-04,03:45/저/200,10:24/고/712,17:05/저/303,22:52/고/597
